+--------------+-------------------------------------------------------------------------------------------------------------------+-------------+---------------+
|      Id      |                                                       Title                                                       | Category_Id | Category_Name |
+--------------+-------------------------------------------------------------------------------------------------------------------+-------------+---------------+
| MLA863267784 |                                   Monitor Dell P2018h Led 19.5  Negro 110v/220v                                   |   MLA14407  |   Monitores   |
| MLA870594510 |                      Access Point, Router Linksys Max-stream Ea7300 Negro 100v/240v 1 Unidad                      |  MLA430901  |    Routers    |
| MLA663208480 |                               Notebook Laptop Dell Inspiron I5 16g 256ssd Ubuntu Ram                              |   MLA1652   |   Notebooks   |
| MLA740540307 |                            Servidor Poweredge Dell T40 Xeon E3-1225 8gb 1tb Hd Free Dos                           |   MLA1649   |       PC      |
| MLA609550688 |         Ups Apc Easy 500va Estabilizador Y Protector De Tension Con Ahorro De Energia Gtia Oficial 2 Años         |   MLA1720   |      UPS      |
| MLA673439018 |   Notebook Laptop Dell Inspiron I3 8gb 1tb 15,6 Fhd Ubuntu Teclado Con Ñ Gtia De Tienda Oficial - Factura A Y B   |   MLA1652   |   Notebooks   |
| MLA827806651 |                            Pc Dell Optiplex I5 8gb 1tb Win10p + Monitor P2018h 3 Gtias                            |   MLA1649   |       PC      |
| MLA614270244 |   Ups Apc 1000va Para Pc Gamer Simil Bx1100 Bv1000i-ar Estabilizador Y Protector De Tension Gtia Oficial 2 Años   |   MLA1720   |      UPS      |
| MLA619999038 |        Ups Apc 550va 3 Tomas Gtia Oficial 2 Años Estabilizador Y Protector De Tension Con Ahorro De Energia       |   MLA1720   |      UPS      |
| MLA837797303 |                             Notebook Laptop Dell Inspiron I3 16gb 1tb 15,6 Fhd Win 10                             |   MLA1652   |   Notebooks   |
| MLA867089021 |                               Servidor Rack Dell Poweredge R240 Xeon 32gb 4tb Gtia                                |   MLA1649   |       PC      |
| MLA625205834 |  Ups Apc 800va 6 T Estabilizador Y Protector De Tension Gtia Oficial 2 Años Bx800 Para Tv, Play, Equipos De Audio |   MLA1720   |      UPS      |
| MLA836303021 |                               Notebook Dell Latitude I5 16gb 256ssd 14 Win10 Pro Ram                              |   MLA1652   |   Notebooks   |
| MLA838441150 |                             Servidor Poweredge Dell T40 Xeon E3-2224 16gb 1tb Hd Gtia                             |   MLA1649   |       PC      |
| MLA701423768 | Switch Cisco 8 Puertos Port 10/100/1000 Giga Sg100 Oferta Para Hogar Y Empresa - Garantia Oficial - Factura A Y B |   MLA1708   |    Switches   |
| MLA863060151 |                            Router Wifi Linksys Ea6100 Dualband Usb 3.0 Control Parental                           |  MLA430901  |    Routers    |
| MLA677347584 |      Notebook Dell Inspiron I3 8gb 1tb 14 Win 10 Teclado Con Ñ Garantia De Tienda Oficial - Factura A Y B Ram     |   MLA1652   |   Notebooks   |
| MLA867877670 |                            Servidor Rack Dell Poweredge R240 Xeon 16gb 2tb Gtia Cuotas                            |   MLA1649   |       PC      |
| MLA846968526 |                            Ups Apc Bv1000 Estabilza Y Protege Tensión Entrega Inmediata                           |   MLA1720   |      UPS      |
| MLA837842655 |                            Notebook Dell Inspiron I7 256ssd 32gb 15.6 W10 Gforce Oferta                           |   MLA1652   |   Notebooks   |
| MLA861373243 |                            Servidor Rack Dell Poweredge R240 Xeon 32gb 4tb Gtia Cuotas                            |   MLA1649   |       PC      |
| MLA839633052 |                               Ups Apc Easy Bv500i-ar 500va Bv500 Gtia Oficial 2 Años                              |   MLA1720   |      UPS      |
| MLA659248541 |                                Monitor Gamer Hd Dell Led Profesional 20 Dp Vertical                               |   MLA14407  |   Monitores   |
| MLA833393643 |                            Notebook Laptop Dell Inspiron I5 10g 8g 256gb Ubuntu Oferta                            |   MLA1652   |   Notebooks   |
| MLA724135827 |                             Pc Dell Optiplex I5 8gb 1tb Win10p Ram 3 Años Gtía Oferta                             |   MLA1649   |       PC      |
| MLA863064747 |                                Router Linksys Wifi Ea7300 Mimo Smart Router Ac1750                                |  MLA430901  |    Routers    |
| MLA620000215 |  Router Wifi Linksys Dual Band 2 Antenas Usb 3.0 Conectar Equipos De Hogar Y Empresas Gtia Oficial  Factura A Y B |  MLA430901  |    Routers    |
| MLA833705652 |                              Notebook Laptop Dell Inspiron I5 10g 16g 256gb Win10 Ram                             |   MLA1652   |   Notebooks   |
| MLA862050665 |                            Servidor Poweredge Dell T40 Intel E3-2224 16gb 1tb Hd Cuotas                           |   MLA1649   |       PC      |
| MLA846965428 |                            Ups Apc Bv500 Estabilizador Protector Tension Entreg Inmedit                           |   MLA1720   |      UPS      |
| MLA850688285 |                             Notebook Dell Inspiron I5 256ssd + 1tb 16gb W10 Gforce Ram                            |   MLA1652   |   Notebooks   |
| MLA697896424 |                              Pc Dell Optiplex Ssf I5 8gb 1tb Win10pro 3 Años Gtía Ram                             |   MLA1649   |       PC      |
| MLA834430429 |                             Notebook Dell Inspiron I7 256ssd + 480ssd 16gb W10gforce                              |   MLA1652   |   Notebooks   |
| MLA673280398 |                             Servidor Rack Dell Poweredge R240 Xeon E-2124 8gb 2tb Gtia                            |   MLA1649   |       PC      |
| MLA634471245 |                            Scanner Portátil De Mano Iris Book 3 Iriscan Ocr Microsd Usb                           |   MLA72721  |    Scanners   |
| MLA812781294 |                             Notebook Dell Vostro I5 16gb 256ssd 14hd Win10 Profesional                            |   MLA1652   |   Notebooks   |
| MLA654228009 |                              Pc Dell Optiplex Intel I5 4gb 1tb Windows 10 Pro Oferta                              |   MLA1649   |       PC      |
| MLA619242948 |                                 Router Wifi Linksys Dual Band 600mbps 802.11n Usb                                 |  MLA430901  |    Routers    |
| MLA723629779 |        Notebook Dell Vostro I5 14 8g 256ssd Win10 Pro Teclado Con Ñ Gtia De Tienda Oficial - Factura A Y B        |   MLA1652   |   Notebooks   |
| MLA609116302 |     Ups Apc 1500va Con Ahorro De Energa Estabilizador Y Protector De Tension Gtia Oficial Ideal Para Uso Gamer    |   MLA1720   |      UPS      |
| MLA702423108 |        Pc De Escritorio Dell I5 8gb Hd 1tb Win10 Pro Vostro Ram Para Uso Hogar Y Empresa - Garantia Oficial       |   MLA1649   |       PC      |
| MLA604049998 |                               Ups Apc Easy Bv650i-ar 650va Gtia Oficial 2 Años Bv650                              |   MLA1720   |      UPS      |
